race,gender,politics,home_tap_safe,campus_tap_safe,bottles_safe,trusts_govt,community_influenced
Hispanic or Latino,Woman,Mixed,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree
Hispanic or Latino,Man,Mostly liberal,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree
"Asian,Hispanic or Latino",Prefer not to answer,Consistently liberal,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
Asian,Woman,Consistently liberal,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat agree
White/Caucasian,Non-binary,Consistently liberal,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree
White/Caucasian,Woman,Mixed,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree
White/Caucasian,Woman,Mostly liberal,Somewhat disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree
"White/Caucasian,Hispanic or Latino",Woman,Prefer not to answer,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree
Black or African American,Woman,Prefer not to answer,Strongly disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree
Asian,Woman,Prefer not to answer,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
Black or African American,Woman,Consistently liberal,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree
Asian,Woman,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
